(Pittsburgh split) ,59
(Three to ,59
2d hnlf ,59
Alice Teddy ,59
Clown Seal ,59
Granville A Mack ,59
Hanlon A Clifton ,59
Hlckey Bros ,59
Keno A Green ,59
Mae Curtis ,59
Marie Fenton ,59
New York Repre- ,59
"Norfolk, Va. ",59
Rose A Ellis ,59
The Seebacks ,59
Walters A Walters ,59
Ward A Cullen ,59
Wilfred Clarke Co ,59
"""Act Beautiful"" ",58
"""Naughty Princess"" ",58
(ubo> ,58
Cantwell A Walker ,58
Chas Mack Co ,58
Colonial ,58
Cooper A Smith ,58
Dlero ,58
Dow A Dow ,58
Ethel Green ,58
Evelyn A Dolly ,58
Fink's Mules ,58
James Grady Co ,58
Julia Nash Co ,58
Rae Samuels ,58
Richard Wally Co ,58
Rouble Sims ,58
The Stantons ,58
Valeska Suratt Co ,58
(Louisville split) ,57
(Roanoke split) ,57
Boudlnl Bros ,57
Chas Ledegar ,57
Cook A Stevens ,57
Doc O'Nell ,57
Dolce Sisters ,57
Dugan A Raymond ,57
Ed Gray ,57
Gaston Palmer ,57
Golden Troupe ,57
Great Leon ,57
Hamilton A Barnes ,57
Harry Coleman ,57
Jack Wilson Co ,57
Jerome A Carson ,57
John T Doyle Co ,57
Jordan Girls ,57
Klutlng's Animals ,57
Lunette Sisters ,57
Sam Barton ,57
Sylvester A Vance ,57
Tabor A Green ,57
The Gladiators ,57
"""Women"" ",56
(2d half) ,56
Bernard A Scarth ,56
Brooks A Bowen ,56
Chung Hwa 4 ,56
Emerson A Baldwin ,56
Franklyn Ardell Co ,56
Jones A Sylvester ,56
Lydla Barry ,56
Mack A Walker ,56
Memphis ,56
Mllo ,56
Moran A Wiser ,56
Musical Geralds ,56
Musical Hunters ,56
Paul Conchas ,56
Paul Decker Co ,56
Sacramento ,56
Talking Pictures ,56
Toney A Norman ,56
"""Flirtation"" ",55
"""Girl In Moon"" ",55
"""Prosperity"" ",55
"""When Women Rule"" ",55
(Charlotte split) ,55
Barry Girls ,55
Edith Clifford ,55
Ethel Hopkins ,55
Foster Ball Co ,55
Frank North Co ,55
Herbert Brooks Co ,55
Houdlnl ,55
Id half ,55
Joe Browning ,55
Lady Alice's Pets ,55
Lewis A Norton ,55
Lyceum ,55
Nat Carr ,55
"Newark, N. J. ",55
Pantages Circuit ,55
Pat Barrett ,55
Reddlngton A Grant ,55
Rita Gould ,55
Viola Duval ,55
Wright A Dietrich ,55
ubo) ,55
"""Corner Store"" ",54
(Agency) ,54
7 Bracks ,54
Adonis A Dog ,54
Alice Hanson ,54
Armstrong A Ford ,54
Burns A Lynn ,54
Dooley A Sales ,54
Hallen A Hunter ,54
Jean Adair Co ,54
John R Gordon Co ,54
Juggling Nelson ,54
Kalem K ,54
Kervllle Family ,54
Kirk A Fogarty ,54
Lander Bros ,54
Mabel Harper ,54
Montgomery A Perry ,54
Murphy A Klein ,54
Nolan A Nolan ,54
Oddone ,54
Princeton A Yale ,54
Retter Bros ,54
St. Paul ,54
Stone A Hayes ,54
Tower A Darrell ,54
"""New Leader"" ",53
3 Lorettas ,53
Al Shayne ,53
Clayton A Lennle ,53
Dave Roth ,53
Felix Adler ,53
Hager A Goodwin ,53
Harry Beresford Co ,53
Holmes A Wells ,53
Homer Llnd Co ,53
Lambertl ,53
Laypo A Benjamin ,53
Lew Hoffman ,53
Llbonatl ,53
Nevlns A Erwood ,53
Sullivan A Mason ,53
The Cromwells ,53
The Dohertys ,53
Wanda ,53
Whitfield A Ireland ,53
^ ,53
"""Motor Boating"" ",52
4 ,52
Annie Kent ,52
Antrim A Vale ,52
Arthur Havel Co ,52
Beeman A Anderson ,52
Burke A Harris ,52
Dorothy Rogers Co ,52
El Cota ,52
Fanton's Athletes ,52
Greater City 4 ,52
Hal Stephens Co ,52
Ideal ,52
Jack Alfred Co ,52
Joe Roberts ,52
Lyons A Yosco ,52
Mario A Duffy ,52
Sophie Tucker Co ,52
W C Fields ,52
"""The Tamer"" ",51
"""Vanity Fair"" ",51
(Four to nil) ,51
(New Orleans split) ,51
(Putnam Building) ,51
1.,51
Alexandria ,51
Ball A West ,51
Belle Blanche ,51
Bert Howard ,51
Bill Prultt ,51
Donovan A Lee ,51
Doris Wilson Co ,51
Frank Shields ,51
Fred Weber Co ,51
Gorman Bros ,51
Gypsy Countess ,51
Hallen A Fuller ,51
Holmes A Buchanan ,51
John P Wade Co ,51
Kate Watson ,51
"Little Rock, Ark. ",51
Moore A Elliott ,51
Sam Harris ,51
Write for Catalog 4 ,51
"""Four Husbands"" ",50
"""Lawn Party"" ",50
"""Society Buds"" ",50
(loow) ,50
3 Lyres ,50
4 Entertainers ,50
Apdale's Animals ,50
Bert Hanlon ,50
Blcknell ,50
Brlerre A King ,50
Bronson A Baldwin ,50
Buffalo ,50
Carson A Wlllard ,50
Chas Grapewln Co ,50
Chas L Fletcher ,50
Clara Howard ,50
Cooper A Rlcardo ,50
Elliott A Mullen ,50
Frey Twins ,50
Jack Gardner Co ,50
Julian Hall ,50
La Toy Bros ,50
Marlon Weeks ,50
Meredith A Snoozer ,50
Mrs Gene Hughes Co ,50
Ralph Connors ,50
Savoy A Brennan ,50
The Stanleys ,50
Ward Sisters ,50
Winona Winter ,50
Albert Donnelly ,49
Bert Wheeler Co ,49
Burdella Patterson ,49
Cabaret Trio ,49
Chas Wilson ,49
Clark A McCullough ,49
Eddie Foy Co ,49
Elsie Williams Co ,49
Embs A Alton ,49
Evelyn Cunningham ,49
Fremont Benton Co ,49
Gene Greene ,49
Gordon A Day ,49
J K Emmett Co ,49
Jack Marley ,49
Kitty Francis Co ,49
Minnie Kaufman ,49
Sllber A North ,49
Svengall ,49
The Lelands ,49
Three Lyres ,49
Togan A Geneva ,49
Weston A Leon ,49
"""Cheyenne Days"" ",48
"""Rubevllle"" ",48
(8unday opening) ,48
(Two to Oil) ,48
(scftabc) ,48
Al Lawrence ,48
Bell A Eva ,48
Bessie LeCount ,48
Bessie's Cockatoos ,48
Billy Elliott ,48
Chas Deland Co ,48
Countess Verona ,48
Dale A Boyle ,48
Dare Bros ,48
Dick Ferguson ,48
Edna Aug ,48
Herbert A Dennis ,48
John Neff ,48
Karl Emmy's Pets ,48
Lester Trio ,48
Lockett A Waldron ,48
Mason A Murray ,48
Merrill A Otto ,48
Miller A Lyle ,48
Olga ,48
Owen McGlveney ,48
Rooney ft Bent ,48
Schooler A Dickinson ,48
Swan A Swan ,48
Swor A Mack ,48
The Valdos ,48
Walter Weems ,48
Watson Sisters ,48
son ,48
"""Bachelor Dinner"" ",47
"""Fireside Reverie"" ",47
Adler A Arllne ,47
Al Fields Co ,47
Allen A Francis ,47
Ameta ,47
Archer A Belford ,47
Azard Bros ,47
Barto A Clark ,47
Booth A Leander ,47
Britt Wood ,47
Cameron A O'Connor ,47
College Quintet ,47
De,47
Dorothy Brenner ,47
Earl A Curtis ,47
Elizabeth Cutty ,47
Elizabeth Murray ,47
German Film ,47
Gladys Vance ,47
Great Johnson ,47
Harry Cooper Co ,47
Howard A McCane ,47
Howard Chase Co ,47
Kelso Bros ,47
King A Harvey ,47
Lambert A Ball ,47
Leipzig ,47
Meehan's Dogs ,47
Musical Nosses ,47
Oxford Trio ,47
Patrlcola ,47
